0;363
0;3497
0;2512
0;954
0;1967
1;2966
1;780
1;198
1;1845
1;1280
2;681
2;1175
2;218
2;2482
2;2293
3;2798
3;357
3;570
3;2490
3;867
4;1731
4;3146
4;1697
4;695
4;2500
5;1789
5;3366
5;993
5;2978
5;893
6;1281
6;652
6;1481
6;2491
6;390
7;1498
7;2062
7;1762
7;290
7;2976
8;3469
8;954
8;2089
8;364
8;363
9;2934
9;87
9;2891
9;2907
9;1589
10;3304
10;1081
10;1627
10;700
10;393
11;1583
11;2714
11;3348
11;2224
11;400
12;301
12;2750
12;466
12;338
12;1584
13;3209
13;1179
13;998
13;2263
13;404
14;109
14;1208
14;2466
14;2867
14;1484
15;3399
15;1726
15;3306
15;1286
15;2520
16;1534
16;2617
16;1931
16;196
16;1185
17;819
17;54
17;59
17;823
17;2990
18;1859
18;856
18;1564
18;2883
18;793
19;1815
19;1552
19;3303
19;3214
19;99
20;1322
20;1200
20;2531
20;2085
20;1390
21;946
21;608
21;2148
21;1522
21;911
22;2900
22;732
22;3350
22;1834
22;211
23;1395
23;3268
23;966
23;1357
23;1926
24;3122
24;2480
24;3190
24;623
24;926
25;473
25;1064
25;2848
25;1894
25;1983
26;2682
26;2425
26;805
26;3430
26;799
27;223
27;3167
27;2155
27;2414
27;1588
28;3129
28;3131
28;3223
28;2163
28;644
29;590
29;1126
29;3103
29;853
29;131
30;861
30;2238
30;1734
30;2298
30;1729
31;1547
31;360
31;1060
31;529
31;3308
32;3034
32;1463
32;1152
32;424
32;146
33;3030
33;2225
33;2775
33;2783
33;2847
34;2925
34;1456
34;1719
34;679
34;2392
35;594
35;2501
35;884
35;782
35;2240
36;627
36;1365
36;2849
36;2086
36;1240
37;2286
37;3247
37;1772
37;3162
37;2223
38;2036
38;817
38;1455
38;3415
38;1121
39;765
39;1444
39;2275
39;1197
39;982
40;119
40;888
40;3307
40;519
40;2736
41;3116
41;1950
41;3311
41;3000
41;2744
42;3177
42;281
42;2395
42;123
42;1411
43;1752
43;232
43;2739
43;260
43;2399
44;2957
44;3345
44;3484
44;2369
44;2853
45;217
45;535
45;2647
45;3440
45;3050
46;1201
46;2037
46;2607
46;465
46;324
47;2260
47;1989
47;1879
47;951
47;311
48;1153
48;957
48;920
48;1155
48;1061
49;1478
49;3141
49;3210
49;3064
49;2385
50;1309
50;2028
50;1972
50;1125
50;489
51;1233
51;2572
51;2218
51;3393
51;1482
52;1368
52;2980
52;3330
52;247
52;342
53;1246
53;2761
53;3015
53;3012
53;2681
54;823
54;1241
54;2990
54;819
55;2231
55;2110
55;2211
55;1015
55;64
56;2788
56;66
56;581
56;2095
56;636
57;948
57;1605
57;1922
57;761
57;3391
58;502
58;562
58;2495
58;221
58;2602
59;2990
59;819
59;2907
59;87
60;1440
60;2678
60;368
60;1222
60;2652
61;3437
61;667
61;553
61;2572
61;1426
62;3183
62;2336
62;1592
62;1304
62;181
63;1646
63;781
63;1080
63;275
63;3206
64;1848
64;3478
64;2110
64;2347
65;2057
65;2889
65;1532
65;2792
65;2721
66;2788
66;274
66;1373
66;581
67;266
67;1921
67;789
67;3046
67;193
68;307
68;788
68;3435
68;2423
68;133
69;3215
69;3118
69;3374
69;1022
69;3073
70;1082
70;72
70;2918
70;2189
70;1221
71;2521
71;1746
71;2303
71;278
71;2969
72;2918
72;1082
72;398
72;2189
73;2559
73;2864
73;3053
73;431
73;917
74;1900
74;2020
74;2281
74;1831
74;2004
75;958
75;2702
